,year,manufacturer,model,condition,cylinders,fuel,title_status,transmission,drive,size,type,paint_color,state,price_log,odometer_log
42780,2008,bmw,528i,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,sedan,custom,pa,8.918248591035702,11.48256934495533
93781,2013,ford,focus,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,hatchback,black,tx,8.476162841858246,11.451156438572596
393926,2014,gmc,sierra 1500 4x4 z71,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,white,ok,9.846917201047734,11.775366649556215
263195,2007,acura,tl,like new,6 cylinders,gas,clean,automatic,fwd,compact,sedan,white,oh,8.411832675758411,12.077557223294747
94080,2004,chrysler,sebring convertible,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,convertible,brown,oh,7.824046010856292,11.759863664850155
497137,2008,chevrolet,silverado 1500 4wd extcab,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,blue,oh,9.104424146384634,11.771389827002036
121475,2010,bmw,x5,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,black,fl,9.371608519572305,11.433449263468432
280168,2008,hyundai,santa fe,like new,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,blue,ky,8.15908865466791,12.089595007471479
137187,2011,ford,f-250 1owner rust free lifted texas truck,excellent,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,white,in,9.846917201047734,12.30586820550548
424999,2017,nissan,sentra sv,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,sd,9.375854810453756,9.859274397859803
248035,2015,jeep,wrangler unlimited,like new,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,black,va,10.202999376741486,10.57334051729299
366994,2014,volkswagen,passat se,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,black,or,9.392578591964389,11.386364011502263
126899,2014,nissan,rogue select,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,SUV,grey,fl,9.305559638557117,10.985970459274354
166438,2014,ford,focus,excellent,4 cylinders,gas,clean,automatic,fwd,compact,sedan,white,wa,8.909235279192261,11.210481638644469
295689,2006,gmc,envoy denali,good,8 cylinders,gas,clean,automatic,4wd,mid-size,SUV,black,oh,8.281470857895167,12.014615485902027
